MODE,FRAME,YAW,PITCH,ROLL,YAWm,PITCHm,ROLLm,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,TEMP_F,FRAME_TIME_S,FRAME_TIME_MS,FRAME_TIME_US,INT_TIME_S,INT_TIME_MS,INT_TIME_US
RUN MODE,72,-164.42134,2.68053,-0.15024,0,0,0,-0.04731,-0.0019,0.99668,0.01832,-0.02595,0.01221,635.375,3595.3125,3359.625,78.91241,0,3,525,0,29,994
RUN MODE,73,-164.42139,2.71338,-0.14024,0,0,0,-0.04761,-0.00225,0.99482,0.01374,-0.03664,0.00763,658.73438,3590.625,3359.625,78.91241,0,3,441,0,29,998
RUN MODE,74,-164.41968,2.70528,-0.1555,0,0,0,-0.04678,-0.00293,0.99429,0.00763,-0.03664,0.01679,668.07812,3553.125,3359.625,78.9178,0,3,527,0,29,997
RUN MODE,75,-164.41685,2.59126,-0.18188,0,0,0,-0.04307,-0.00356,0.99375,0.00763,-0.03053,0.02748,691.4375,3543.75,3355.10962,78.92104,0,3,457,0,29,999
RUN MODE,76,-164.41359,2.45414,-0.20943,0,0,0,-0.04028,-0.00405,0.99331,0.01069,-0.03511,0.03511,679.75781,3529.6875,3355.10962,78.92319,0,3,402,0,29,999
RUN MODE,77,-164.40973,2.47277,-0.23857,0,0,0,-0.04316,-0.00459,0.99399,0.00916,-0.03206,0.04427,693.77344,3534.375,3355.10962,78.91888,0,3,835,0,30,3
RUN MODE,78,-164.40608,2.37902,-0.24889,0,0,0,-0.03975,-0.00444,0.99434,0.01985,-0.0229,0.05496,672.75,3532.03125,3334.78906,78.9178,0,3,434,0,29,994
RUN MODE,79,-164.40303,2.36835,-0.241,0,0,0,-0.04092,-0.004,0.99468,0.02443,-0.02443,0.05802,668.07812,3550.78125,3316.72632,78.91241,0,3,423,0,29,997
RUN MODE,80,-164.39963,2.45667,-0.2417,0,0,0,-0.04404,-0.00415,0.99424,0.02595,-0.0229,0.05802,637.71094,3571.875,3323.5,78.90702,0,3,521,0,29,996
RUN MODE,81,-164.39751,2.50653,-0.21922,0,0,0,-0.04424,-0.00337,0.99316,0.03206,-0.0229,0.05344,633.03906,3555.46875,3316.72632,78.90379,0,3,436,0,30,1
RUN MODE,82,-164.39532,2.42931,-0.21324,0,0,0,-0.04077,-0.00352,0.9915,0.03817,-0.0229,0.04275,609.67969,3555.46875,3334.78906,78.9027,0,3,440,0,29,999
RUN MODE,83,-164.39311,2.49502,-0.20163,0,0,0,-0.04424,-0.00322,0.99224,0.03969,-0.03053,0.04733,590.99219,3550.78125,3348.33594,78.89839,0,3,432,0,29,997
RUN MODE,84,-164.39203,2.52819,-0.18132,0,0,0,-0.04434,-0.00273,0.99346,0.03969,-0.03359,0.03511,595.66406,3550.78125,3361.88257,78.89732,0,3,428,0,29,999
RUN MODE,85,-164.39136,2.54087,-0.15912,0,0,0,-0.04429,-0.00234,0.99487,0.02901,-0.03359,0.02901,616.6875,3557.8125,3355.10962,78.89947,0,3,453,0,29,997
